election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,101 - CHINCOTEAGUE,157,3,1035,110,10,1315,2788,206,2994,47%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,201 - ATLANTIC,79,3,371,14,3,470,949,50,999,50%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,202 - GREENBACKVILLE,96,5,627,57,6,791,1749,163,1912,45%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,301 - NEW CHURCH,260,8,537,109,6,920,2678,190,2868,34%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,401 - BLOXOM,66,,350,14,1,431,1109,64,1173,39%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,402 - PARKSLEY,135,1,400,15,,551,1120,58,1178,49%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,403 - SAXIS,14,,123,4,,141,329,13,342,43%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,501 - MAPPSVILLE,172,5,243,27,,447,1139,64,1203,39%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,502 - RUE,210,2,157,37,3,409,1046,73,1119,39%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,601 - ACCOMAC,401,3,542,41,5,992,2121,126,2247,47%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,602 - TANGIER,,,122,2,,124,310,6,316,40%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,701 - NANDUA,731,8,722,91,5,1557,2853,147,3000,55%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,801 - BOBTOWN,155,,331,20,4,510,930,44,974,55%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,802 - MELFA,223,,345,20,2,590,1329,53,1382,44%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,803 - WACHAPREAGUE,103,,296,10,6,415,781,27,808,53%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,901 - PAINTER,486,7,773,77,3,1346,2803,141,2944,48%
2023 November General and Special Elections,11/7/2023 0:00,ACCOMACK COUNTY,ACCOMACK COUNTY PROVISIONALS,,,,,,,,,,
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,101 - WOODBROOK,289,10,1099,155,12,1565,2885,179,3064,54%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,103 - BRANCHLANDS,87,7,306,94,11,505,1193,235,1428,42%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,104 - AGNOR-HURT,148,18,678,141,16,1001,2489,222,2711,40%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,105 - DUNLORA,433,19,1253,235,33,1973,3539,246,3785,56%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,106 - NORTHSIDE,278,12,987,142,21,1440,2779,207,2986,52%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,201 - JACK JOUETT,549,24,1090,330,30,2023,3513,232,3745,58%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,202 - UNIVERSITY,74,244,458,67,13,856,2741,626,3367,31%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,203 - GEORGETOWN,176,16,711,137,14,1054,3098,426,3524,34%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,301 - IVY,618,18,1567,289,25,2517,3938,170,4108,64%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,302 - RED HILL,372,19,1054,197,17,1659,3081,139,3220,54%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,304 - EAST IVY,203,6,366,88,7,670,1034,51,1085,65%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,305 - COUNTRY GREEN,597,11,894,131,11,1644,2945,177,3122,56%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,306 - PORTERS,132,3,510,50,10,705,1637,66,1703,43%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,150,2,464,73,5,694,1221,76,1297,57%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,401 - SCOTTSVILLE,155,11,619,72,4,861,1762,109,1871,49%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,402 - MONTICELLO,132,1,504,76,9,722,1591,64,1655,45%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,405 - MOUNTAIN VIEW,574,29,1234,244,29,2110,3976,303,4279,53%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,406 - STONE ROBINSON,564,13,1150,207,27,1961,3436,150,3586,57%
2023 November General and Special Elections,11/7/2023 0:00,ALBEMARLE COUNTY,407 - BISCUIT RUN,208,14,434,66,6,728,2316,329,2645,31%
